country	type	tier	name	HP	front	sides	rear	view	tfront	tsides	trear	reload	clip_count	clip_rate	shell1_type	shell1_pierce	shell1_damage	shell2_type	shell2_pierce	shell2_damage	shell3_type	shell3_pierce	shell3_damage
china	LT	1	Renault NC-31	110	16	16	16	280	22	22	22	2.5	-	-	AP	29	30	APCR	46	30	HE	18	36
china	LT	1	Renault NC-31	110	16	16	16	280	22	22	22	2.2	-	-	AP	40	36	APCR	74	36	HE	18	42
czech	LT	1	Kolohousenka	110	14	8	6	280	14	14	14	2.2	-	-	AP	45	50	APCR	70	50	HE	23	65
france	LT	1	Renault FT	115	16	16	16	280	22	22	16	2.5	-	-	AP	29	30	APCR	46	30	HE	18	36
france	LT	1	Renault FT	115	16	16	16	280	22	22	16	5.7	15	450	AP	23	8	APCR	36	8	-	-	-
germany	LT	1	Leichttraktor	130	14	14	14	310	14	14	14	2.2	-	-	AP	40	36	APCR	74	36	HE	18	42
germany	LT	1	Leichttraktor	130	14	14	14	310	14	14	14	5.1	12	240	AP	30	11	APCR	47	11	-	-	-
japan	LT	1	Renault Otsu	110	30	30	22	280	20	20	20	5.7	15	450	AP	23	8	APCR	36	8	-	-	-
japan	LT	1	Renault Otsu	110	30	30	22	280	20	20	20	2.5	-	-	AP	32.8	45	AP	48.6	45	HE	18	55
sweden	LT	1	Strv fm/21	130	14	14	14	290	14	14	14	8	20	350	AP	27	12	AP	38	12	HE	10	16
usa	LT	1	T1 Cunningham	115	9.5	6.3	6.3	280	9.5	6.3	6.3	2.7	-	-	AP	28	30	APCR	45	30	HE	19	36
usa	LT	1	T1 Cunningham	115	9.5	6.3	6.3	280	9.5	6.3	6.3	6.8	5	120	AP	33	30	APCR	53	30	HE	19	36
ussr	LT	1	MS-1	100	16	16	16	280	16	16	16	2.8	-	-	AP	51	47	APCR	88	47	HE	23	62
uk	MT	1	Vickers Medium Mk. I	140	6.35	6.35	6.35	280	6.35	6.35	6.35	2.2	-	-	AP	45	70	AP	57	70	HE	29	95
china	LT	2	Vickers Mk. E Type B	170	12.7	12.7	12.7	310	30	15	15	1.2	-	-	AP	49	45	APCR	71	45	HE	23	60
czech	LT	2	LT vz. 35	180	25	16	16	320	25	16	16	4	-	-	AP	52	40	APCR	74	40	HE	18	45
czech	LT	2	LT vz. 35	180	25	16	16	320	25	16	16	4	-	-	AP	52	40	APCR	74	40	HE	18	45
france	LT	2	Renault R35	155	40	40	32	300	40	40	40	2.5	-	-	AP	34	40	APCR	67	40	HE	24	45
france	LT	2	Renault R35	155	40	40	32	300	40	40	40	1.8	-	-	AP	46	27	APCR	68	27	-	-	-
france	LT	2	FCM 36	140	40	20	20	280	40	40	40	2.5	-	-	AP	34	40	APCR	67	40	HE	24	45
france	LT	2	FCM 36	140	40	20	20	280	40	40	40	1.8	-	-	AP	46	27	APCR	68	27	-	-	-
france	LT	2	Hotchkiss H35	160	40	40	40	300	40	40	40	2.5	-	-	AP	34	40	APCR	67	40	HE	24	45
france	LT	2	Hotchkiss H35	160	40	40	40	300	40	40	40	1.8	-	-	AP	46	27	APCR	68	27	-	-	-
france	LT	2	D1	170	30	30	30	300	40	40	35	2.5	-	-	AP	25	50	APCR	46	50	HE	24	62
france	LT	2	D1	170	30	30	30	300	40	40	35	1.8	-	-	AP	46	27	APCR	68	27	-	-	-
germany	LT	2	Pz.Kpfw. 35 (t)	180	25	16	16	320	25	16	16	2.2	-	-	AP	42	40	APCR	74	40	HE	18	45
germany	LT	2	Pz.Kpfw. 35 (t)	180	25	16	16	320	25	16	16	4.3	10	450	AP	39	11	APCR	51	11	-	-	-
germany	LT	2	Pz.Kpfw. II Ausf. D	210	30	14.5	14.5	320	14.5	14.5	14.5	1.6	10	280	AP	23	11	APCR	46	11	-	-	-
germany	LT	2	Pz.Kpfw. I	160	13	13	13	320	14	13	13	1.6	10	280	AP	23	11	APCR	46	11	-	-	-
germany	LT	2	Pz.Kpfw. I	160	13	13	13	320	14	13	13	1.4	10	450	AP	23	11	APCR	46	11	-	-	-
germany	LT	2	Pz.Kpfw. I	160	13	13	13	320	14	13	13	5.1	12	240	AP	30	11	APCR	47	11	-	-	-
germany	LT	2	Pz.Kpfw. 38H 735 (f)	160	40	40	40	330	40	40	40	2.2	-	-	AP	41	40	APCR	64	40	HE	18	45
germany	LT	2	Pz.Kpfw. II	170	30	20	15	320	30	20	20	4.3	10	450	AP	39	11	APCR	51	11	-	-	-
japan	LT	2	Type 95 Ha-Go	175	12	12	10	300	35	25	25	2.2	-	-	AP	29.6	75	HEAT	55	75	HE	28	95
japan	LT	2	Type 95 Ha-Go	175	12	12	10	300	35	25	25	2.3	-	-	AP	40.4	45	AP	59.4	45	HE	18	60
japan	LT	2	Type 97 Te-Ke	160	12	10	8	300	12	10	10	2.3	-	-	AP	40.4	45	AP	59.4	45	HE	18	60
sweden	LT	2	Strv m/38	170	13	13	13	300	15	13	13	2	-	-	AP	55	40	APCR	78	40	HE	19	50
sweden	LT	2	L-60	180	13	13	7	280	13	13	13	8	20	350	AP	27	12	AP	38	12	HE	10	16
uk	LT	2	M2	165	38.1	25.4	25.4	320	38.1	25.4	25.4	2.5	-	-	AP	48	40	APCR	70	40	HE	19	50
uk	LT	2	Cruiser Mk. I	170	14	10	10	320	14	14	14	1.2	-	-	AP	49	45	APCR	71	45	HE	23	60
uk	LT	2	Cruiser Mk. III	150	14	14	14	320	14	12	14	1.2	-	-	AP	49	45	APCR	71	45	HE	23	60
uk	LT	2	Light Mk. VIC	150	14	13	6	300	14	14	11	5.7	40	430	AP	27	9	-	-	-	-	-	-
usa	LT	2	T1E6	160	15.9	6.4	6.4	260	12.7	6.4	6.4	6.8	5	120	AP	33	30	APCR	53	30	HE	19	36
usa	LT	2	T2 Light Tank	150	17	15	6	260	16	16	16	8	15	600	AP	30	12	APCR	41	12	-	-	-
usa	LT	2	T7 Combat Car	150	15.9	12.7	6.4	280	12.7	12.7	12.7	1.5	40	550	AP	27	8	-	-	-	-	-	-
usa	LT	2	M2 Light Tank	160	38.1	25.4	25.4	320	38.1	25.4	25.4	2.5	-	-	AP	48	40	APCR	70	40	HE	19	50
usa	LT	2	M2 Light Tank	160	38.1	25.4	25.4	320	38.1	25.4	25.4	1.6	15	600	AP	30	12	APCR	41	12	-	-	-
ussr	LT	2	BT-2	160	15	13	10	280	26	13	13	2.2	-	-	AP	51	47	APCR	88	47	HE	23	62
ussr	LT	2	Tetrarch	140	16	14	10	260	16	14	10	2	-	-	AP	64	45	APCR	121	45	HE	23	60
ussr	LT	2	T-26	180	15	15	15	310	15	15	15	2.2	-	-	AP	58	40	APCR	92	40	HE	19	50
ussr	LT	2	T-60	170	35	15	25	300	25	25	25	2.2	-	-	AP	58	40	APCR	92	40	HE	19	50
ussr	LT	2	T-45	140	25	15	25	300	35	35	35	2.2	-	-	AP	51	47	APCR	84	47	HE	23	62
japan	MT	2	Chi-Ni	190	25	12	10	300	30	20	20	2.2	-	-	AP	29.6	75	HEAT	55	75	HE	28	95
japan	MT	2	Type 89 I-Go/Chi-Ro	200	17	15	15	320	15	15	15	2.2	-	-	AP	29.6	75	HEAT	55	75	HE	28	95
